Date,new_diagnoses,ventilation,cum_deaths
2022-04-09,194,17,5466
2022-04-10,191,20,5477
2022-04-11,186,17,5489
2022-04-12,190,14,5499
2022-04-13,179,19,5508
2022-04-14,170,15,5518
2022-04-15,165,16,5529
2022-04-16,163,13,5539
2022-04-17,157,12,5547
2022-04-18,152,17,5557
2022-04-19,154,16,5564
2022-04-20,149,13,5573
2022-04-21,141,11,5581
2022-04-22,133,12,5587
