Date,S_mean,S_max,S_min,E_mean,E_max,E_min,I_mean,I_max,I_min,R_mean,R_max,R_min,H_mean,H_max,H_min,C_mean,C_max,C_min,D_mean,D_max,D_min,fk_mean,fk_max,fk_min,R0_mean,R0_max,R0_min,alpha_e_mean,alpha_e_std,alpha_i_mean,alpha_i_std,eps_hc_mean,eps_hc_std,mu_mean,mu_std
2022-02-12,2707594,2707957,2707382,12296,12486,11969,12360,12380,12325,42327,42328,42326,651,652,651,39,40,39,5022,5022,5021,3072,3072,3072,1.7557979731676585,2.0498190227224686,1.431369526673466,0.14258982613166268,0.08487797249626616,0.19515284986720086,0.07838330022535869,0.02233641651715627,0.0009234743766888385,0.46737208884125797,0.03779964153888471
2022-02-13,2704171,2704965,2703701,13150,13535,12502,13323,13401,13190,43927,43933,43914,655,657,654,38,39,37,5025,5025,5023,3281,3332,3194,1.2370394810953953,1.444190675099921,1.0084648937926692,0.14258982613166268,0.08487797249626616,0.19515284986720086,0.07838330022535869,0.02233641651715627,0.0009234743766888385,0.46737208884125797,0.03779964153888471
2022-02-14,2701714,2702849,2701099,12974,13409,12150,14222,14377,13953,45636,45658,45598,678,681,675,37,38,36,5027,5028,5025,3509,3611,3336,0.9976124847543508,1.1646698992741298,0.8132781401553784,0.14258982613166268,0.08487797249626616,0.19515284986720086,0.07838330022535869,0.02233641651715627,0.0009234743766888385,0.46737208884125797,0.03779964153888471
2022-02-15,2699754,2701176,2699130,12397,12751,11482,14918,15135,14504,47407,47452,47324,746,751,738,37,38,35,5030,5031,5027,3462,3578,3242,1.7957024725578314,2.096405818693434,1.4639006522796811,0.14258982613166268,0.08487797249626616,0.19515284986720086,0.07838330022535869,0.02233641651715627,0.0009234743766888385,0.46737208884125797,0.03779964153888471
2022-02-16,2695846,2697833,2695179,13696,14152,12455,15601,15849,15019,49226,49302,49079,849,858,834,37,38,35,5033,5034,5029,3308,3402,3063,1.7957024725578314,2.096405818693434,1.4639006522796811,0.14258982613166268,0.08487797249626616,0.19515284986720086,0.07838330022535869,0.02233641651715627,0.0009234743766888385,0.46737208884125797,0.03779964153888471
2022-02-17,2691667,2694318,2690765,14989,15606,13400,16461,16731,15663,51182,51292,50944,916,927,892,38,40,36,5036,5038,5031,3654,3776,3323,1.7957024725578314,2.096405818693434,1.4639006522796811,0.14258982613166268,0.08487797249626616,0.19515284986720086,0.07838330022535869,0.02233641651715627,0.0009234743766888385,0.46737208884125797,0.03779964153888471
2022-02-18,2687186,2690613,2686002,16304,17043,14336,17475,17836,16415,53343,53491,52979,902,914,872,39,41,37,5039,5041,5033,3999,4164,3575,1.7557979731676585,2.0498190227224686,1.431369526673466,0.14258982613166268,0.08487797249626616,0.19515284986720086,0.07838330022535869,0.02233641651715627,0.0009234743766888385,0.46737208884125797,0.03779964153888471
2022-02-19,2682498,2686801,2680989,17555,18397,15192,18617,19089,17250,55562,55748,55036,975,992,932,40,42,37,5042,5044,5035,4350,4547,3825,1.7557979731676585,2.0498190227224686,1.431369526673466,0.14258982613166268,0.08487797249626616,0.19515284986720086,0.07838330022535869,0.02233641651715627,0.0009234743766888385,0.46737208884125797,0.03779964153888471
2022-02-20,2677478,2682785,2675595,18865,19876,16071,19870,20470,18152,58044,58298,57304,945,964,894,41,43,38,5045,5048,5037,4684,4909,4053,1.2370394810953953,1.444190675099921,1.0084648937926692,0.14258982613166268,0.08487797249626616,0.19515284986720086,0.07838330022535869,0.02233641651715627,0.0009234743766888385,0.46737208884125797,0.03779964153888471
2022-02-21,2673881,2679962,2671713,18648,19713,15716,21060,21795,18980,60427,60766,59446,1181,1212,1098,42,45,40,5048,5052,5040,5034,5303,4288,0.9976124847543508,1.1646698992741298,0.8132781401553784,0.14258982613166268,0.08487797249626616,0.19515284986720086,0.07838330022535869,0.02233641651715627,0.0009234743766888385,0.46737208884125797,0.03779964153888471
2022-02-22,2671013,2677740,2668615,17835,18970,14906,21978,22833,19571,63118,63565,61834,1248,1285,1147,45,48,42,5052,5055,5042,4976,5260,4193,1.7957024725578314,2.096405818693434,1.4639006522796811,0.14258982613166268,0.08487797249626616,0.19515284986720086,0.07838330022535869,0.02233641651715627,0.0009234743766888385,0.46737208884125797,0.03779964153888471
2022-02-23,2665347,2673325,2662245,19714,21267,16241,22892,23890,20147,65949,66521,64313,1284,1327,1167,47,51,44,5055,5059,5044,4759,5062,3977,1.7957024725578314,2.096405818693434,1.4639006522796811,0.14258982613166268,0.08487797249626616,0.19515284986720086,0.07838330022535869,0.02233641651715627,0.0009234743766888385,0.46737208884125797,0.03779964153888471
2022-02-24,2659312,2668700,2655516,21563,23429,17512,24069,25289,20914,68988,69707,66940,1247,1294,1123,49,53,46,5059,5064,5047,5260,5674,4333,1.7957024725578314,2.096405818693434,1.4639006522796811,0.14258982613166268,0.08487797249626616,0.19515284986720086,0.07838330022535869,0.02233641651715627,0.0009234743766888385,0.46737208884125797,0.03779964153888471
2022-02-25,2652867,2663840,2648372,23428,25550,18753,25472,26942,21838,72228,73120,69702,1180,1228,1052,51,54,47,5063,5068,5050,5754,6252,4672,1.7557979731676585,2.0498190227224686,1.431369526673466,0.14258982613166268,0.08487797249626616,0.19515284986720086,0.07838330022535869,0.02233641651715627,0.0009234743766888385,0.46737208884125797,0.03779964153888471
