Date,S_mean,S_max,S_min,E_mean,E_max,E_min,I_mean,I_max,I_min,R_mean,R_max,R_min,H_mean,H_max,H_min,C_mean,C_max,C_min,D_mean,D_max,D_min,fk_mean,fk_max,fk_min,R0_mean,R0_max,R0_min,alpha_e_mean,alpha_e_std,alpha_i_mean,alpha_i_std,eps_hc_mean,eps_hc_std,mu_mean,mu_std
2022-02-02,2732291,2732430,2732186,5320,5414,5196,4411,4422,4397,33046,33046,33045,239,240,239,41,41,41,4941,4941,4939,1171,1171,1171,2.919010303923318,3.6604831383342913,1.9175326077353367,0.16684989557394428,0.13770261809727577,0.35280271089798904,0.1714102258848884,0.03922192136579373,0.0012240660097433743,0.4745679577228695,0.04544053472323301
2022-02-03,2730186,2730445,2730000,6338,6485,6132,5024,5059,4976,33515,33519,33512,243,245,243,38,38,37,4944,4944,4941,1418,1443,1385,2.919010303923318,3.6604831383342913,1.9175326077353367,0.16684989557394428,0.13770261809727577,0.35280271089798904,0.1714102258848884,0.03922192136579373,0.0012240660097433743,0.4745679577228695,0.04544053472323301
2022-02-04,2727712,2728078,2727459,7487,7672,7225,5778,5843,5688,34084,34094,34073,246,247,245,35,35,35,4947,4947,4943,1689,1728,1634,2.8541434082805783,3.5791390685935296,1.8749207720078849,0.16684989557394428,0.13770261809727577,0.35280271089798904,0.1714102258848884,0.03922192136579373,0.0012240660097433743,0.4745679577228695,0.04544053472323301
2022-02-05,2724876,2725346,2724487,8733,9017,8406,6679,6774,6542,34713,34733,34688,305,308,303,33,34,33,4949,4950,4944,1995,2045,1925,2.8541434082805783,3.5791390685935296,1.8749207720078849,0.16684989557394428,0.13770261809727577,0.35280271089798904,0.1714102258848884,0.03922192136579373,0.0012240660097433743,0.4745679577228695,0.04544053472323301
2022-02-06,2721553,2722240,2720968,10170,10620,9677,7736,7884,7551,35543,35579,35497,302,305,298,32,33,31,4952,4953,4945,2330,2406,2243,2.010873764924953,2.521666161963623,1.3209669075510098,0.16684989557394428,0.13770261809727577,0.35280271089798904,0.1714102258848884,0.03922192136579373,0.0012240660097433743,0.4745679577228695,0.04544053472323301
2022-02-07,2718952,2719823,2718195,10673,11193,10115,8849,9068,8599,36439,36494,36367,388,395,382,32,32,31,4955,4956,4947,2713,2833,2582,1.6216723910685105,2.0336017435190508,1.0652958931862981,0.16684989557394428,0.13770261809727577,0.35280271089798904,0.1714102258848884,0.03922192136579373,0.0012240660097433743,0.4745679577228695,0.04544053472323301
2022-02-08,2716703,2717713,2715831,10765,11252,10185,9871,10160,9540,37539,37628,37431,421,430,412,32,33,31,4957,4958,4948,2848,2986,2699,2.919010303923318,3.6604831383342913,1.9175326077353367,0.16684989557394428,0.13770261809727577,0.35280271089798904,0.1714102258848884,0.03922192136579373,0.0012240660097433743,0.4745679577228695,0.04544053472323301
2022-02-09,2711987,2713629,2710831,13062,13744,12031,11008,11374,10573,38676,38807,38524,562,576,546,34,35,32,4960,4961,4950,2872,3002,2717,2.919010303923318,3.6604831383342913,1.9175326077353367,0.16684989557394428,0.13770261809727577,0.35280271089798904,0.1714102258848884,0.03922192136579373,0.0012240660097433743,0.4745679577228695,0.04544053472323301
2022-02-10,2706539,2708812,2704984,15563,16447,14174,12489,12963,11859,40070,40257,39849,628,647,608,36,37,34,4962,4964,4951,3485,3667,3210,2.919010303923318,3.6604831383342913,1.9175326077353367,0.16684989557394428,0.13770261809727577,0.35280271089798904,0.1714102258848884,0.03922192136579373,0.0012240660097433743,0.4745679577228695,0.04544053472323301
2022-02-11,2700212,2703141,2698134,18362,19534,16661,14318,14941,13451,41627,41885,41311,764,790,734,40,41,37,4965,4967,4953,4153,4388,3782,2.8541434082805783,3.5791390685935296,1.8749207720078849,0.16684989557394428,0.13770261809727577,0.35280271089798904,0.1714102258848884,0.03922192136579373,0.0012240660097433743,0.4745679577228695,0.04544053472323301
2022-02-12,2693031,2696662,2690312,21375,22891,19384,16503,17321,15369,43593,43950,43140,774,804,738,44,45,41,4969,4971,4954,4899,5212,4445,2.8541434082805783,3.5791390685935296,1.8749207720078849,0.16684989557394428,0.13770261809727577,0.35280271089798904,0.1714102258848884,0.03922192136579373,0.0012240660097433743,0.4745679577228695,0.04544053472323301
2022-02-13,2684705,2689127,2681195,24824,26749,22519,19063,20127,17636,45859,46346,45233,818,854,774,47,49,44,4972,4975,4956,5703,6108,5172,2.010873764924953,2.521666161963623,1.3209669075510098,0.16684989557394428,0.13770261809727577,0.35280271089798904,0.1714102258848884,0.03922192136579373,0.0012240660097433743,0.4745679577228695,0.04544053472323301
2022-02-14,2678161,2683371,2674023,25989,28094,23430,21749,23088,20015,48465,49116,47625,897,942,843,51,54,47,4976,4979,4958,6624,7138,6009,1.6216723910685105,2.0336017435190508,1.0652958931862981,0.16684989557394428,0.13770261809727577,0.35280271089798904,0.1714102258848884,0.03922192136579373,0.0012240660097433743,0.4745679577228695,0.04544053472323301
2022-02-15,2672487,2678696,2667834,26152,28301,23200,24204,25804,22137,51353,52200,50260,1057,1115,985,56,59,51,4980,4983,4960,6935,7496,6252,2.919010303923318,3.6604831383342913,1.9175326077353367,0.16684989557394428,0.13770261809727577,0.35280271089798904,0.1714102258848884,0.03922192136579373,0.0012240660097433743,0.4745679577228695,0.04544053472323301
