Date,S_mean,S_max,S_min,E_mean,E_max,E_min,I_mean,I_max,I_min,R_mean,R_max,R_min,H_mean,H_max,H_min,C_mean,C_max,C_min,D_mean,D_max,D_min,fk_mean,fk_max,fk_min,R0_mean,R0_max,R0_min,alpha_e_mean,alpha_e_std,alpha_i_mean,alpha_i_std,eps_hc_mean,eps_hc_std,mu_mean,mu_std
2022-03-04,2672733,2672852,2672596,6053,6176,5947,13979,13993,13967,81448,81450,81446,757,759,757,46,47,44,5272,5272,5270,1760,1760,1760,0.5530493519724885,0.7136676940294527,0.4017955827898713,0.09902614563699405,0.04865098919489179,0.02658693355028528,0.017861422641902408,0.026664344070631778,0.0023810886265886997,0.41292741759118917,0.08859903665579717
2022-03-05,2672476,2672700,2672211,5548,5761,5370,13275,13322,13234,82875,82881,82869,794,796,793,46,49,43,5275,5276,5271,1615,1648,1586,0.5530493519724885,0.7136676940294527,0.4017955827898713,0.09902614563699405,0.04865098919489179,0.02658693355028528,0.017861422641902408,0.026664344070631778,0.0023810886265886997,0.41292741759118917,0.08859903665579717
2022-03-06,2672284,2672601,2671896,5095,5374,4868,12567,12660,12489,84277,84293,84265,742,746,740,45,49,42,5278,5280,5273,1480,1537,1432,0.38964840707152604,0.502811329884387,0.2830832515110457,0.09902614563699405,0.04865098919489179,0.02658693355028528,0.017861422641902408,0.026664344070631778,0.0023810886265886997,0.41292741759118917,0.08859903665579717
2022-03-07,2672361,2672734,2671899,4500,4790,4268,11846,11986,11731,85649,85683,85623,607,611,604,44,49,41,5281,5284,5274,1359,1434,1299,0.3142325863480048,0.4054930079712799,0.22829294476697232,0.09902614563699405,0.04865098919489179,0.02658693355028528,0.017861422641902408,0.026664344070631778,0.0023810886265886997,0.41292741759118917,0.08859903665579717
2022-03-08,2672577,2672984,2672068,3907,4180,3692,11100,11279,10954,86780,86836,86736,598,603,594,43,48,39,5284,5288,5275,1200,1278,1139,0.5656186554264087,0.7298874143483038,0.41092730058055016,0.09902614563699405,0.04865098919489179,0.02658693355028528,0.017861422641902408,0.026664344070631778,0.0023810886265886997,0.41292741759118917,0.08859903665579717
2022-03-09,2672575,2673033,2671997,3634,3915,3416,10367,10580,10196,87697,87778,87633,686,695,679,42,48,38,5287,5292,5276,1042,1115,985,0.5656186554264087,0.7298874143483038,0.41092730058055016,0.09902614563699405,0.04865098919489179,0.02658693355028528,0.017861422641902408,0.026664344070631778,0.0023810886265886997,0.41292741759118917,0.08859903665579717
2022-03-10,2672620,2673125,2671973,3380,3675,3164,9680,9923,9487,88663,88777,88573,614,624,607,41,48,36,5290,5296,5278,969,1044,911,0.5656186554264087,0.7298874143483038,0.41092730058055016,0.09902614563699405,0.04865098919489179,0.02658693355028528,0.017861422641902408,0.026664344070631778,0.0023810886265886997,0.41292741759118917,0.08859903665579717
2022-03-11,2672706,2673256,2671994,3145,3456,2931,9036,9306,8824,89528,89678,89408,541,551,534,40,47,35,5292,5300,5279,902,980,844,0.5530493519724885,0.7136676940294527,0.4017955827898713,0.09902614563699405,0.04865098919489179,0.02658693355028528,0.017861422641902408,0.026664344070631778,0.0023810886265886997,0.41292741759118917,0.08859903665579717
2022-03-12,2672843,2673434,2672062,2917,3238,2708,8431,8724,8205,90185,90373,90036,579,592,568,39,46,34,5295,5303,5280,839,922,782,0.5530493519724885,0.7136676940294527,0.4017955827898713,0.09902614563699405,0.04865098919489179,0.02658693355028528,0.017861422641902408,0.026664344070631778,0.0023810886265886997,0.41292741759118917,0.08859903665579717
2022-03-13,2673015,2673645,2672156,2706,3034,2504,7864,8178,7625,90891,91124,90709,476,488,467,38,44,32,5298,5307,5281,778,864,722,0.38964840707152604,0.502811329884387,0.2830832515110457,0.09902614563699405,0.04865098919489179,0.02658693355028528,0.017861422641902408,0.026664344070631778,0.0023810886265886997,0.41292741759118917,0.08859903665579717
2022-03-14,2673340,2673993,2672430,2405,2715,2222,7320,7658,7074,91459,91737,91242,428,440,418,36,43,31,5300,5311,5282,722,809,668,0.3142325863480048,0.4054930079712799,0.22829294476697232,0.09902614563699405,0.04865098919489179,0.02658693355028528,0.017861422641902408,0.026664344070631778,0.0023810886265886997,0.41292741759118917,0.08859903665579717
2022-03-15,2673742,2674408,2672795,2099,2385,1929,6787,7140,6539,91871,92193,91622,452,469,440,34,41,29,5303,5314,5283,641,724,593,0.5656186554264087,0.7298874143483038,0.41092730058055016,0.09902614563699405,0.04865098919489179,0.02658693355028528,0.017861422641902408,0.026664344070631778,0.0023810886265886997,0.41292741759118917,0.08859903665579717
2022-03-16,2674020,2674705,2673011,1967,2266,1779,6283,6646,6037,92205,92571,91923,476,496,461,33,40,28,5305,5317,5284,560,636,515,0.5656186554264087,0.7298874143483038,0.41092730058055016,0.09902614563699405,0.04865098919489179,0.02658693355028528,0.017861422641902408,0.026664344070631778,0.0023810886265886997,0.41292741759118917,0.08859903665579717
2022-03-17,2674322,2675027,2673251,1842,2149,1640,5820,6193,5579,92473,92882,92159,492,515,476,32,39,27,5307,5320,5284,525,604,474,0.5656186554264087,0.7298874143483038,0.41092730058055016,0.09902614563699405,0.04865098919489179,0.02658693355028528,0.017861422641902408,0.026664344070631778,0.0023810886265886997,0.41292741759118917,0.08859903665579717
