Date,S_mean,S_max,S_min,E_mean,E_max,E_min,I_mean,I_max,I_min,R_mean,R_max,R_min,H_mean,H_max,H_min,C_mean,C_max,C_min,D_mean,D_max,D_min,fk_mean,fk_max,fk_min,R0_mean,R0_max,R0_min,alpha_e_mean,alpha_e_std,alpha_i_mean,alpha_i_std,eps_hc_mean,eps_hc_std,mu_mean,mu_std
2022-02-23,2681536,2681803,2681329,10965,11151,10726,17661,17681,17634,63820,63821,63818,1092,1093,1091,39,39,38,5177,5178,5176,2968,2968,2968,0.9586123753401268,1.0413429149204694,0.8442462600826337,0.10188670965074895,0.07533420375501228,0.08700737824050875,0.04545511259832199,0.02830440421491793,0.0011614691478864627,0.43881978800546884,0.07527484878797308
2022-02-24,2679667,2680206,2679243,10817,11160,10382,17516,17589,17422,66040,66049,66032,1025,1028,1024,43,44,41,5180,5181,5177,2925,2975,2862,0.9586123753401268,1.0413429149204694,0.8442462600826337,0.10188670965074895,0.07533420375501228,0.08700737824050875,0.04545511259832199,0.02830440421491793,0.0011614691478864627,0.43881978800546884,0.07527484878797308
2022-02-25,2677837,2678656,2677184,10677,11156,10078,17361,17511,17171,68251,68275,68223,934,939,931,45,47,43,5183,5185,5179,2886,2978,2770,0.9373098781103462,1.0182019612555702,0.8254852320807975,0.10188670965074895,0.07533420375501228,0.08700737824050875,0.04545511259832199,0.02830440421491793,0.0011614691478864627,0.43881978800546884,0.07527484878797308
2022-02-26,2676098,2677199,2675208,10496,11101,9765,17193,17435,16890,70347,70398,70287,919,927,913,47,49,44,5187,5189,5180,2849,2977,2689,0.9373098781103462,1.0182019612555702,0.8254852320807975,0.10188670965074895,0.07533420375501228,0.08700737824050875,0.04545511259832199,0.02830440421491793,0.0011614691478864627,0.43881978800546884,0.07527484878797308
2022-02-27,2674402,2675793,2673244,10326,11049,9481,17013,17357,16586,72405,72495,72295,905,916,895,48,51,45,5190,5193,5182,2800,2962,2605,0.6603774141231983,0.7173695636118789,0.5815918680569254,0.10188670965074895,0.07533420375501228,0.08700737824050875,0.04545511259832199,0.02830440421491793,0.0011614691478864627,0.43881978800546884,0.07527484878797308
2022-02-28,2673397,2674985,2672051,9581,10326,8729,16758,17206,16212,74345,74487,74171,964,982,947,50,53,47,5194,5197,5183,2755,2948,2530,0.5325624307445147,0.5785238416224829,0.4690257000459076,0.10188670965074895,0.07533420375501228,0.08700737824050875,0.04545511259832199,0.02830440421491793,0.0011614691478864627,0.43881978800546884,0.07527484878797308
2022-03-01,2672748,2674474,2671211,8679,9447,7873,16365,16910,15721,76302,76512,76046,947,968,925,51,54,48,5197,5201,5185,2556,2755,2329,0.9586123753401268,1.0413429149204694,0.8442462600826337,0.10188670965074895,0.07533420375501228,0.08700737824050875,0.04545511259832199,0.02830440421491793,0.0011614691478864627,0.43881978800546884,0.07527484878797308
2022-03-02,2671271,2673236,2669366,8711,9656,7851,15941,16591,15211,78253,78546,77900,859,883,836,52,55,48,5201,5206,5187,2315,2521,2101,0.9586123753401268,1.0413429149204694,0.8442462600826337,0.10188670965074895,0.07533420375501228,0.08700737824050875,0.04545511259832199,0.02830440421491793,0.0011614691478864627,0.43881978800546884,0.07527484878797308
2022-03-03,2669838,2672059,2667568,8708,9793,7789,15578,16351,14762,80024,80412,79567,883,913,853,52,56,49,5205,5210,5189,2324,2576,2095,0.9586123753401268,1.0413429149204694,0.8442462600826337,0.10188670965074895,0.07533420375501228,0.08700737824050875,0.04545511259832199,0.02830440421491793,0.0011614691478864627,0.43881978800546884,0.07527484878797308
2022-03-04,2668446,2670938,2665808,8681,9879,7699,15261,16167,14359,81853,82359,81274,788,817,757,52,56,48,5208,5215,5190,2323,2613,2078,0.9373098781103462,1.0182019612555702,0.8254852320807975,0.10188670965074895,0.07533420375501228,0.08700737824050875,0.04545511259832199,0.02830440421491793,0.0011614691478864627,0.43881978800546884,0.07527484878797308
2022-03-05,2667135,2669906,2664132,8595,9884,7558,14975,16017,13985,83475,84109,82770,844,882,804,52,56,48,5212,5219,5192,2316,2636,2054,0.9373098781103462,1.0182019612555702,0.8254852320807975,0.10188670965074895,0.07533420375501228,0.08700737824050875,0.04545511259832199,0.02830440421491793,0.0011614691478864627,0.43881978800546884,0.07527484878797308
2022-03-06,2665864,2668923,2662486,8501,9871,7409,14709,15886,13633,85141,85927,84292,805,848,762,51,56,48,5216,5224,5194,2293,2637,2016,0.6603774141231983,0.7173695636118789,0.5815918680569254,0.10188670965074895,0.07533420375501228,0.08700737824050875,0.04545511259832199,0.02830440421491793,0.0011614691478864627,0.43881978800546884,0.07527484878797308
2022-03-07,2665178,2668433,2661521,7912,9261,6858,14406,15705,13253,86855,87819,85843,668,707,630,50,55,47,5220,5228,5195,2268,2634,1977,0.5325624307445147,0.5785238416224829,0.4690257000459076,0.10188670965074895,0.07533420375501228,0.08700737824050875,0.04545511259832199,0.02830440421491793,0.0011614691478864627,0.43881978800546884,0.07527484878797308
2022-03-08,2664791,2668186,2660891,7182,8485,6208,14006,15403,12800,88356,89500,87184,682,729,637,49,54,45,5223,5233,5197,2111,2471,1830,0.9586123753401268,1.0413429149204694,0.8442462600826337,0.10188670965074895,0.07533420375501228,0.08700737824050875,0.04545511259832199,0.02830440421491793,0.0011614691478864627,0.43881978800546884,0.07527484878797308
