Date,S_mean,S_max,S_min,E_mean,E_max,E_min,I_mean,I_max,I_min,R_mean,R_max,R_min,H_mean,H_max,H_min,C_mean,C_max,C_min,D_mean,D_max,D_min,fk_mean,fk_max,fk_min,R0_mean,R0_max,R0_min,alpha_e_mean,alpha_e_std,alpha_i_mean,alpha_i_std,eps_hc_mean,eps_hc_std,mu_mean,mu_std
2022-02-17,2694250,2694681,2693944,13002,13277,12614,15904,15933,15862,51092,51094,51090,904,905,904,38,38,37,5099,5100,5098,3356,3356,3356,1.3746809184795201,1.6122081779148985,1.1623238969486667,0.12255829459874759,0.0884889756074048,0.14085681920550097,0.06858375335944511,0.021293725419180842,0.001216433037677817,0.4505959206331056,0.05498654239032095
2022-02-18,2691183,2692121,2690495,13445,14009,12680,16487,16600,16330,53151,53163,53137,882,884,880,38,39,37,5102,5103,5100,3469,3542,3365,1.3441324536244197,1.5763813295167897,1.1364944770164742,0.12255829459874759,0.0884889756074048,0.14085681920550097,0.06858375335944511,0.021293725419180842,0.001216433037677817,0.4505959206331056,0.05498654239032095
2022-02-19,2688093,2689600,2686958,13833,14685,12710,17077,17322,16743,55205,55241,55160,937,943,932,39,40,37,5105,5106,5102,3587,3738,3383,1.3441324536244197,1.5763813295167897,1.1364944770164742,0.12255829459874759,0.0884889756074048,0.14085681920550097,0.06858375335944511,0.021293725419180842,0.001216433037677817,0.4505959206331056,0.05498654239032095
2022-02-20,2684905,2687061,2683254,14242,15388,12762,17669,18090,17109,57432,57514,57327,893,902,883,39,41,37,5108,5109,5104,3691,3918,3391,0.9470024105081141,1.1106323003413745,0.8007120178979703,0.12255829459874759,0.0884889756074048,0.14085681920550097,0.06858375335944511,0.021293725419180842,0.001216433037677817,0.4505959206331056,0.05498654239032095
2022-02-21,2682744,2685409,2680751,13660,14881,12020,18158,18770,17349,59495,59643,59305,1080,1100,1056,40,42,37,5111,5113,5106,3800,4106,3405,0.7637116213775113,0.8956712099527213,0.6457354983048148,0.12255829459874759,0.0884889756074048,0.14085681920550097,0.06858375335944511,0.021293725419180842,0.001216433037677817,0.4505959206331056,0.05498654239032095
2022-02-22,2681112,2684222,2678940,12734,13869,11022,18421,19196,17373,61752,61994,61438,1114,1142,1079,42,44,39,5114,5116,5108,3645,3971,3207,1.3746809184795201,1.6122081779148985,1.1623238969486667,0.12255829459874759,0.0884889756074048,0.14085681920550097,0.06858375335944511,0.021293725419180842,0.001216433037677817,0.4505959206331056,0.05498654239032095
2022-02-23,2677865,2681829,2675306,13455,14902,11319,18635,19542,17328,64053,64411,63580,1119,1154,1073,43,46,40,5117,5120,5110,3397,3700,2941,1.3746809184795201,1.6122081779148985,1.1623238969486667,0.12255829459874759,0.0884889756074048,0.14085681920550097,0.06858375335944511,0.021293725419180842,0.001216433037677817,0.4505959206331056,0.05498654239032095
2022-02-24,2674534,2679419,2671300,14121,15885,11585,18964,19999,17347,66441,66937,65766,1063,1102,1009,44,47,40,5120,5123,5112,3590,3976,3020,1.3746809184795201,1.6122081779148985,1.1623238969486667,0.12255829459874759,0.0884889756074048,0.14085681920550097,0.06858375335944511,0.021293725419180842,0.001216433037677817,0.4505959206331056,0.05498654239032095
2022-02-25,2671110,2676989,2667169,14751,16798,11827,19383,20669,17417,68894,69547,67968,981,1023,922,45,48,41,5124,5127,5115,3768,4238,3091,1.3441324536244197,1.5763813295167897,1.1364944770164742,0.12255829459874759,0.0884889756074048,0.14085681920550097,0.06858375335944511,0.021293725419180842,0.001216433037677817,0.4505959206331056,0.05498654239032095
2022-02-26,2667677,2674608,2662999,15277,17577,11990,19864,21428,17519,71310,72137,70089,988,1038,914,45,48,41,5127,5131,5117,3936,4482,3156,1.3441324536244197,1.5763813295167897,1.1364944770164742,0.12255829459874759,0.0884889756074048,0.14085681920550097,0.06858375335944511,0.021293725419180842,0.001216433037677817,0.4505959206331056,0.05498654239032095
2022-02-27,2664149,2672215,2658678,15796,18352,12143,20388,22245,17639,73781,74806,72212,998,1059,907,45,49,41,5130,5135,5119,4076,4690,3199,0.9470024105081141,1.1106323003413745,0.8007120178979703,0.12255829459874759,0.0884889756074048,0.14085681920550097,0.06858375335944511,0.021293725419180842,0.001216433037677817,0.4505959206331056,0.05498654239032095
2022-02-28,2661784,2670699,2655683,15182,17797,11491,20826,22966,17688,76215,77486,74255,1102,1184,981,46,49,41,5134,5138,5121,4215,4897,3240,0.7637116213775113,0.8956712099527213,0.6457354983048148,0.12255829459874759,0.0884889756074048,0.14085681920550097,0.06858375335944511,0.021293725419180842,0.001216433037677817,0.4505959206331056,0.05498654239032095
2022-03-01,2660017,2669640,2653327,14170,16797,10572,21032,23425,17564,78772,80355,76359,1114,1209,975,46,50,42,5137,5142,5123,4051,4749,3066,1.3746809184795201,1.6122081779148985,1.1623238969486667,0.12255829459874759,0.0884889756074048,0.14085681920550097,0.06858375335944511,0.021293725419180842,0.001216433037677817,0.4505959206331056,0.05498654239032095
2022-03-02,2656446,2667405,2648610,14994,18131,10905,21200,23869,17403,81425,83366,78499,1036,1133,895,47,51,42,5141,5146,5126,3781,4482,2821,1.3746809184795201,1.6122081779148985,1.1623238969486667,0.12255829459874759,0.0884889756074048,0.14085681920550097,0.06858375335944511,0.021293725419180842,0.001216433037677817,0.4505959206331056,0.05498654239032095
