Date,S_mean,S_max,S_min,E_mean,E_max,E_min,I_mean,I_max,I_min,R_mean,R_max,R_min,H_mean,H_max,H_min,C_mean,C_max,C_min,D_mean,D_max,D_min,fk_mean,fk_max,fk_min,R0_mean,R0_max,R0_min,alpha_e_mean,alpha_e_std,alpha_i_mean,alpha_i_std,eps_hc_mean,eps_hc_std,mu_mean,mu_std
2022-05-10,2697555,2697556,2697554,299,300,298,578,578,578,76355,76356,76355,19,19,19,14,14,14,5469,5469,5469,88,88,88,1.214278720784289,1.4346146393349497,1.0452661045292178,0.1050214823180738,0.0564601614849696,0.0844268519267777,0.0309862273920959,0.209801110821429,0.0178750759984091,0.0013397799038591,0.0002863400016838
2022-05-11,2697983,2697987,2697979,301,305,298,561,562,561,75928,75929,75927,33,33,33,13,14,13,5469,5469,5469,79,80,79,1.214278720784289,1.4346146393349497,1.0452661045292178,0.1050214823180738,0.0564601614849696,0.0844268519267777,0.0309862273920959,0.209801110821429,0.0178750759984091,0.0013397799038591,0.0002863400016838
2022-05-12,2698410,2698415,2698404,302,307,298,548,549,546,75517,75518,75517,30,30,30,14,14,13,5469,5469,5469,80,81,79,1.214278720784289,1.4346146393349497,1.0452661045292178,0.1050214823180738,0.0564601614849696,0.0844268519267777,0.0309862273920959,0.209801110821429,0.0178750759984091,0.0013397799038591,0.0002863400016838
2022-05-13,2698834,2698842,2698826,302,308,297,536,538,534,75107,75108,75106,28,28,27,13,15,13,5469,5469,5469,80,81,79,1.1872947492113044,1.402734314016395,1.022037968873013,0.1050214823180738,0.0564601614849696,0.0844268519267777,0.0309862273920959,0.209801110821429,0.0178750759984091,0.0013397799038591,0.0002863400016838
2022-05-14,2699259,2699268,2699246,300,308,294,525,529,522,74695,74697,74694,28,28,27,13,15,12,5469,5469,5469,80,82,79,1.1872947492113044,1.402734314016395,1.022037968873013,0.1050214823180738,0.0564601614849696,0.0844268519267777,0.0309862273920959,0.209801110821429,0.0178750759984091,0.0013397799038591,0.0002863400016838
2022-05-15,2699681,2699692,2699664,297,308,291,516,521,512,74282,74285,74281,30,31,30,13,15,12,5469,5469,5469,80,82,78,0.8365031187625097,0.9882900848751872,0.72007220534235,0.1050214823180738,0.0564601614849696,0.0844268519267777,0.0309862273920959,0.209801110821429,0.0178750759984091,0.0013397799038591,0.0002863400016838
2022-05-16,2700121,2700133,2700101,277,289,271,505,512,501,73881,73884,73879,23,23,22,13,15,12,5469,5469,5469,79,82,77,0.6745992893246047,0.7970081329638607,0.580703391405121,0.1050214823180738,0.0564601614849696,0.0844268519267777,0.0309862273920959,0.209801110821429,0.0178750759984091,0.0013397799038591,0.0002863400016838
2022-05-17,2700569,2700583,2700547,252,263,245,491,499,486,73475,73479,73472,21,22,20,13,14,11,5469,5469,5469,74,77,72,1.214278720784289,1.4346146393349497,1.0452661045292178,0.1050214823180738,0.0564601614849696,0.0844268519267777,0.0309862273920959,0.209801110821429,0.0178750759984091,0.0013397799038591,0.0002863400016838
2022-05-18,2700989,2701006,2700964,254,265,246,477,486,471,73072,73078,73069,16,17,16,12,14,11,5469,5469,5469,67,70,65,1.214278720784289,1.4346146393349497,1.0452661045292178,0.1050214823180738,0.0564601614849696,0.0844268519267777,0.0309862273920959,0.209801110821429,0.0178750759984091,0.0013397799038591,0.0002863400016838
2022-05-19,2701407,2701427,2701378,255,268,246,464,475,458,72662,72669,72658,20,21,19,11,13,10,5469,5469,5469,67,70,65,1.214278720784289,1.4346146393349497,1.0452661045292178,0.1050214823180738,0.0564601614849696,0.0844268519267777,0.0309862273920959,0.209801110821429,0.0178750759984091,0.0013397799038591,0.0002863400016838
2022-05-20,2701824,2701846,2701790,255,269,245,454,466,446,72255,72263,72250,21,22,21,11,13,10,5469,5469,5469,68,71,65,1.1872947492113044,1.402734314016395,1.022037968873013,0.1050214823180738,0.0564601614849696,0.0844268519267777,0.0309862273920959,0.209801110821429,0.0178750759984091,0.0013397799038591,0.0002863400016838
2022-05-21,2702239,2702264,2702200,253,269,244,445,459,436,71850,71860,71843,22,23,21,11,13,9,5469,5469,5469,68,72,65,1.1872947492113044,1.402734314016395,1.022037968873013,0.1050214823180738,0.0564601614849696,0.0844268519267777,0.0309862273920959,0.209801110821429,0.0178750759984091,0.0013397799038591,0.0002863400016838
2022-05-22,2702653,2702680,2702609,251,269,241,437,452,427,71446,71459,71439,22,23,21,11,13,9,5469,5469,5469,67,72,65,0.8365031187625097,0.9882900848751872,0.72007220534235,0.1050214823180738,0.0564601614849696,0.0844268519267777,0.0309862273920959,0.209801110821429,0.0178750759984091,0.0013397799038591,0.0002863400016838
2022-05-23,2703081,2703110,2703033,234,252,225,428,445,417,71031,71045,71023,35,36,34,11,13,10,5469,5469,5469,67,71,64,0.6745992893246047,0.7970081329638607,0.580703391405121,0.1050214823180738,0.0564601614849696,0.0844268519267777,0.0309862273920959,0.209801110821429,0.0178750759984091,0.0013397799038591,0.0002863400016838
