Date,S_mean,S_max,S_min,E_mean,E_max,E_min,I_mean,I_max,I_min,R_mean,R_max,R_min,H_mean,H_max,H_min,C_mean,C_max,C_min,D_mean,D_max,D_min,fk_mean,fk_max,fk_min,R0_mean,R0_max,R0_min,alpha_e_mean,alpha_e_std,alpha_i_mean,alpha_i_std,eps_hc_mean,eps_hc_std,mu_mean,mu_std
2022-05-16,2700117,2700119,2700116,279,280,278,504,505,504,73880,73880,73879,23,23,23,15,15,15,5471,5471,5471,80,80,80,0.5962384913450604,0.6251912136217558,0.5776261678493261,0.10058193968196452,0.06657389144341883,0.08787567475322637,0.03697429921379227,0.1098842239244218,0.006577077957194731,0.003963079350110104,0.006011171329842379
2022-05-17,2700565,2700567,2700561,254,256,252,491,491,490,73474,73475,73474,21,21,21,13,14,13,5471,5471,5471,74,74,74,1.0732292844211087,1.1253441845191605,1.039727102128787,0.10058193968196452,0.06657389144341883,0.08787567475322637,0.03697429921379227,0.1098842239244218,0.006577077957194731,0.003963079350110104,0.006011171329842379
2022-05-18,2700984,2700989,2700977,256,261,252,477,478,476,73073,73073,73072,16,16,16,12,12,12,5471,5471,5471,67,68,67,1.0732292844211087,1.1253441845191605,1.039727102128787,0.10058193968196452,0.06657389144341883,0.08787567475322637,0.03697429921379227,0.1098842239244218,0.006577077957194731,0.003963079350110104,0.006011171329842379
2022-05-19,2701402,2701409,2701392,257,264,252,465,468,464,72663,72664,72663,20,20,20,11,11,10,5471,5471,5471,68,69,67,1.0732292844211087,1.1253441845191605,1.039727102128787,0.10058193968196452,0.06657389144341883,0.08787567475322637,0.03697429921379227,0.1098842239244218,0.006577077957194731,0.003963079350110104,0.006011171329842379
2022-05-20,2701817,2701827,2701805,257,265,251,455,459,453,72257,72258,72256,21,21,21,10,10,9,5471,5471,5471,68,70,67,1.049379744767306,1.1003365359742903,1.016622055414814,0.10058193968196452,0.06657389144341883,0.08787567475322637,0.03697429921379227,0.1098842239244218,0.006577077957194731,0.003963079350110104,0.006011171329842379
2022-05-21,2702232,2702244,2702218,256,264,249,447,451,443,71852,71854,71851,22,22,22,9,10,9,5471,5471,5471,68,70,67,1.049379744767306,1.1003365359742903,1.016622055414814,0.10058193968196452,0.06657389144341883,0.08787567475322637,0.03697429921379227,0.1098842239244218,0.006577077957194731,0.003963079350110104,0.006011171329842379
2022-05-22,2702645,2702660,2702628,254,263,246,439,445,434,71450,71452,71448,21,22,21,8,9,8,5471,5471,5471,68,70,66,0.7393357292678748,0.7752371048909772,0.7162564481331644,0.10058193968196452,0.06657389144341883,0.08787567475322637,0.03697429921379227,0.1098842239244218,0.006577077957194731,0.003963079350110104,0.006011171329842379
2022-05-23,2703073,2703090,2703054,237,245,228,430,437,424,71036,71039,71033,34,34,34,8,9,8,5471,5471,5471,67,70,65,0.5962384913450604,0.6251912136217558,0.5776261678493261,0.10058193968196452,0.06657389144341883,0.08787567475322637,0.03697429921379227,0.1098842239244218,0.006577077957194731,0.003963079350110104,0.006011171329842379
2022-05-24,2703507,2703525,2703486,215,224,207,418,426,411,70639,70644,70636,30,30,30,8,9,7,5471,5471,5471,63,65,61,1.0732292844211087,1.1253441845191605,1.039727102128787,0.10058193968196452,0.06657389144341883,0.08787567475322637,0.03697429921379227,0.1098842239244218,0.006577077957194731,0.003963079350110104,0.006011171329842379
2022-05-25,2703917,2703938,2703892,217,228,209,406,415,399,70247,70252,70242,23,23,23,8,8,7,5471,5471,5471,57,59,55,1.0732292844211087,1.1253441845191605,1.039727102128787,0.10058193968196452,0.06657389144341883,0.08787567475322637,0.03697429921379227,0.1098842239244218,0.006577077957194731,0.003963079350110104,0.006011171329842379
2022-05-26,2704325,2704349,2704296,219,230,209,396,406,388,69851,69858,69845,21,21,20,7,8,6,5471,5471,5471,58,61,55,1.0732292844211087,1.1253441845191605,1.039727102128787,0.10058193968196452,0.06657389144341883,0.08787567475322637,0.03697429921379227,0.1098842239244218,0.006577077957194731,0.003963079350110104,0.006011171329842379
2022-05-27,2704731,2704758,2704699,219,231,208,388,399,378,69456,69464,69449,18,18,18,7,8,6,5471,5471,5471,58,61,55,1.049379744767306,1.1003365359742903,1.016622055414814,0.10058193968196452,0.06657389144341883,0.08787567475322637,0.03697429921379227,0.1098842239244218,0.006577077957194731,0.003963079350110104,0.006011171329842379
2022-05-28,2705136,2705166,2705101,218,230,206,380,392,370,69063,69073,69054,16,16,15,6,7,6,5471,5471,5471,58,61,55,1.049379744767306,1.1003365359742903,1.016622055414814,0.10058193968196452,0.06657389144341883,0.08787567475322637,0.03697429921379227,0.1098842239244218,0.006577077957194731,0.003963079350110104,0.006011171329842379
2022-05-29,2705539,2705572,2705501,216,229,204,373,387,362,68669,68681,68659,15,15,14,6,7,5,5471,5471,5471,58,61,55,0.7393357292678748,0.7752371048909772,0.7162564481331644,0.10058193968196452,0.06657389144341883,0.08787567475322637,0.03697429921379227,0.1098842239244218,0.006577077957194731,0.003963079350110104,0.006011171329842379
