Date,S_mean,S_max,S_min,E_mean,E_max,E_min,I_mean,I_max,I_min,R_mean,R_max,R_min,H_mean,H_max,H_min,C_mean,C_max,C_min,D_mean,D_max,D_min,fk_mean,fk_max,fk_min,R0_mean,R0_max,R0_min,alpha_e_mean,alpha_e_std,alpha_i_mean,alpha_i_std,eps_hc_mean,eps_hc_std,mu_mean,mu_std
2022-04-11,2684539,2684544,2684535,703,708,699,1453,1453,1453,88077,88077,88076,53,53,53,18,18,18,5445,5445,5445,203,203,203,0.5104359900892834,0.5535415903018999,0.46824957473040757,0.1091422702430474,0.05351052380189476,0.06577727690466828,0.02612712224442221,0.08899080328036216,0.004633348145102936,0.006296801157631613,0.008545720405972795
2022-04-12,2685033,2685041,2685024,634,642,628,1393,1395,1392,87706,87707,87706,60,60,59,17,17,17,5445,5445,5445,187,189,186,0.9187847821607102,0.9963748625434198,0.8428492345147336,0.1091422702430474,0.05351052380189476,0.06577727690466828,0.02612712224442221,0.08899080328036216,0.004633348145102936,0.006296801157631613,0.008545720405972795
2022-04-13,2685468,2685483,2685450,630,644,619,1335,1338,1332,87335,87336,87334,60,60,60,16,17,16,5445,5445,5445,169,171,167,0.9187847821607102,0.9963748625434198,0.8428492345147336,0.1091422702430474,0.05351052380189476,0.06577727690466828,0.02612712224442221,0.08899080328036216,0.004633348145102936,0.006296801157631613,0.008545720405972795
2022-04-14,2685903,2685925,2685877,624,642,609,1283,1290,1278,86969,86970,86968,50,50,50,15,16,15,5445,5445,5445,168,171,165,0.9187847821607102,0.9963748625434198,0.8428492345147336,0.1091422702430474,0.05351052380189476,0.06577727690466828,0.02612712224442221,0.08899080328036216,0.004633348145102936,0.006296801157631613,0.008545720405972795
2022-04-15,2686340,2686368,2686306,616,637,597,1237,1247,1229,86584,86587,86582,53,53,53,14,15,14,5445,5445,5445,166,171,162,0.898367342557139,0.9742331989313439,0.8241192515255175,0.1091422702430474,0.05351052380189476,0.06577727690466828,0.02612712224442221,0.08899080328036216,0.004633348145102936,0.006296801157631613,0.008545720405972795
2022-04-16,2686780,2686816,2686738,604,627,582,1195,1208,1184,86198,86203,86195,54,54,53,14,15,13,5445,5445,5445,164,170,159,0.898367342557139,0.9742331989313439,0.8241192515255175,0.1091422702430474,0.05351052380189476,0.06577727690466828,0.02612712224442221,0.08899080328036216,0.004633348145102936,0.006296801157631613,0.008545720405972795
2022-04-17,2687221,2687264,2687172,591,617,567,1156,1173,1142,85811,85818,85806,52,52,51,13,14,12,5445,5445,5445,161,167,155,0.6329406277107115,0.6863915719743559,0.5806294726657054,0.1091422702430474,0.05351052380189476,0.06577727690466828,0.02612712224442221,0.08899080328036216,0.004633348145102936,0.006296801157631613,0.008545720405972795
2022-04-18,2687698,2687747,2687644,546,571,522,1116,1136,1099,85416,85425,85409,55,56,55,13,14,12,5445,5445,5445,157,164,151,0.5104359900892834,0.5535415903018999,0.46824957473040757,0.1091422702430474,0.05351052380189476,0.06577727690466828,0.02612712224442221,0.08899080328036216,0.004633348145102936,0.006296801157631613,0.008545720405972795
2022-04-19,2688193,2688246,2688134,492,516,469,1071,1094,1052,85021,85033,85011,54,55,54,12,14,11,5445,5445,5445,145,152,139,0.9187847821607102,0.9963748625434198,0.8428492345147336,0.1091422702430474,0.05351052380189476,0.06577727690466828,0.02612712224442221,0.08899080328036216,0.004633348145102936,0.006296801157631613,0.008545720405972795
2022-04-20,2688641,2688702,2688573,488,516,463,1027,1052,1005,84612,84626,84599,64,65,63,12,13,11,5445,5445,5445,131,137,125,0.9187847821607102,0.9963748625434198,0.8428492345147336,0.1091422702430474,0.05351052380189476,0.06577727690466828,0.02612712224442221,0.08899080328036216,0.004633348145102936,0.006296801157631613,0.008545720405972795
2022-04-21,2689089,2689158,2689012,483,514,455,988,1015,963,84215,84234,84200,56,57,55,12,13,11,5445,5446,5445,130,137,123,0.9187847821607102,0.9963748625434198,0.8428492345147336,0.1091422702430474,0.05351052380189476,0.06577727690466828,0.02612712224442221,0.08899080328036216,0.004633348145102936,0.006296801157631613,0.008545720405972795
2022-04-22,2689537,2689614,2689452,477,509,447,953,983,926,83815,83837,83795,51,52,50,12,13,10,5445,5446,5445,129,137,121,0.898367342557139,0.9742331989313439,0.8241192515255175,0.1091422702430474,0.05351052380189476,0.06577727690466828,0.02612712224442221,0.08899080328036216,0.004633348145102936,0.006296801157631613,0.008545720405972795
2022-04-23,2689987,2690072,2689894,467,500,437,921,954,891,83412,83439,83389,45,46,44,11,13,10,5445,5446,5445,127,135,119,0.898367342557139,0.9742331989313439,0.8241192515255175,0.1091422702430474,0.05351052380189476,0.06577727690466828,0.02612712224442221,0.08899080328036216,0.004633348145102936,0.006296801157631613,0.008545720405972795
2022-04-24,2690437,2690530,2690336,457,491,426,892,927,859,83004,83036,82976,43,44,42,11,12,10,5445,5446,5445,124,133,116,0.6329406277107115,0.6863915719743559,0.5806294726657054,0.1091422702430474,0.05351052380189476,0.06577727690466828,0.02612712224442221,0.08899080328036216,0.004633348145102936,0.006296801157631613,0.008545720405972795
