Date,S_mean,S_max,S_min,E_mean,E_max,E_min,I_mean,I_max,I_min,R_mean,R_max,R_min,H_mean,H_max,H_min,C_mean,C_max,C_min,D_mean,D_max,D_min,fk_mean,fk_max,fk_min,R0_mean,R0_max,R0_min,alpha_e_mean,alpha_e_std,alpha_i_mean,alpha_i_std,eps_hc_mean,eps_hc_std,mu_mean,mu_std
2022-04-08,2683239,2683248,2683232,788,794,780,1619,1620,1619,89124,89125,89124,67,67,67,15,15,15,5436,5436,5436,212,212,212,0.9267391002505412,0.9790240039036076,0.8670214671673561,0.1313674889312374,0.0661304175111901,0.055099503691368,0.0319380937170977,0.1099035385960146,0.0069948374770292,0.0051186848456233,0.0052380941488565
2022-04-09,2683659,2683679,2683647,775,784,758,1561,1563,1558,88781,88782,88781,62,63,62,15,16,14,5436,5436,5436,210,212,208,0.9267391002505412,0.9790240039036076,0.8670214671673561,0.1313674889312374,0.0661304175111901,0.055099503691368,0.0319380937170977,0.1099035385960146,0.0069948374770292,0.0051186848456233,0.0052380941488565
2022-04-10,2684080,2684112,2684061,760,775,737,1508,1512,1500,88436,88437,88435,54,54,54,15,16,14,5436,5436,5436,206,209,202,0.6529298206310628,0.6897669118411779,0.6108560336860916,0.1313674889312374,0.0661304175111901,0.055099503691368,0.0319380937170977,0.1099035385960146,0.0069948374770292,0.0051186848456233,0.0052380941488565
2022-04-11,2684551,2684591,2684526,703,720,677,1454,1461,1442,88078,88080,88075,53,54,53,14,15,14,5436,5436,5436,202,206,196,0.5265563069605348,0.5562636385815951,0.4926258336178158,0.1313674889312374,0.0661304175111901,0.055099503691368,0.0319380937170977,0.1099035385960146,0.0069948374770292,0.0051186848456233,0.0052380941488565
2022-04-12,2685045,2685090,2685017,633,650,608,1394,1403,1379,87707,87710,87703,59,59,59,14,15,13,5436,5436,5436,187,192,180,0.9478013525289624,1.001274549446871,0.8867265005120686,0.1313674889312374,0.0661304175111901,0.055099503691368,0.0319380937170977,0.1099035385960146,0.0069948374770292,0.0051186848456233,0.0052380941488565
2022-04-13,2685480,2685534,2685446,629,648,600,1335,1347,1316,87335,87340,87328,60,60,59,14,16,13,5436,5436,5436,169,173,162,0.9478013525289624,1.001274549446871,0.8867265005120686,0.1313674889312374,0.0661304175111901,0.055099503691368,0.0319380937170977,0.1099035385960146,0.0069948374770292,0.0051186848456233,0.0052380941488565
2022-04-14,2685915,2685980,2685874,623,644,590,1283,1297,1260,86969,86975,86958,49,50,49,14,15,13,5436,5436,5436,168,173,160,0.9478013525289624,1.001274549446871,0.8867265005120686,0.1313674889312374,0.0661304175111901,0.055099503691368,0.0319380937170977,0.1099035385960146,0.0069948374770292,0.0051186848456233,0.0052380941488565
2022-04-15,2686351,2686428,2686302,615,640,579,1237,1254,1210,86583,86591,86570,53,53,52,14,15,13,5436,5436,5436,166,172,157,0.9267391002505412,0.9790240039036076,0.8670214671673561,0.1313674889312374,0.0661304175111901,0.055099503691368,0.0319380937170977,0.1099035385960146,0.0069948374770292,0.0051186848456233,0.0052380941488565
2022-04-16,2686791,2686880,2686732,604,632,563,1195,1215,1164,86197,86208,86179,53,54,52,13,15,12,5436,5436,5436,164,170,154,0.9267391002505412,0.9790240039036076,0.8670214671673561,0.1313674889312374,0.0661304175111901,0.055099503691368,0.0319380937170977,0.1099035385960146,0.0069948374770292,0.0051186848456233,0.0052380941488565
2022-04-17,2687231,2687333,2687161,592,624,548,1156,1180,1120,85809,85823,85787,51,52,51,13,15,12,5436,5436,5436,161,168,150,0.6529298206310628,0.6897669118411779,0.6108560336860916,0.1313674889312374,0.0661304175111901,0.055099503691368,0.0319380937170977,0.1099035385960146,0.0069948374770292,0.0051186848456233,0.0052380941488565
2022-04-18,2687708,2687819,2687631,547,579,503,1116,1144,1077,85413,85429,85386,55,56,54,13,15,12,5436,5436,5436,158,166,146,0.5265563069605348,0.5562636385815951,0.4926258336178158,0.1313674889312374,0.0661304175111901,0.055099503691368,0.0319380937170977,0.1099035385960146,0.0069948374770292,0.0051186848456233,0.0052380941488565
2022-04-19,2688203,2688320,2688121,492,523,452,1072,1102,1029,85018,85038,84985,54,56,53,13,15,12,5436,5436,5436,145,154,134,0.9478013525289624,1.001274549446871,0.8867265005120686,0.1313674889312374,0.0661304175111901,0.055099503691368,0.0319380937170977,0.1099035385960146,0.0069948374770292,0.0051186848456233,0.0052380941488565
2022-04-20,2688651,2688779,2688561,489,520,447,1028,1060,982,84608,84631,84570,64,66,62,13,15,12,5436,5436,5436,131,139,120,0.9478013525289624,1.001274549446871,0.8867265005120686,0.1313674889312374,0.0661304175111901,0.055099503691368,0.0319380937170977,0.1099035385960146,0.0069948374770292,0.0051186848456233,0.0052380941488565
2022-04-21,2689099,2689238,2689000,484,517,440,989,1023,940,84212,84239,84166,56,58,55,13,15,12,5436,5436,5436,130,138,119,0.9478013525289624,1.001274549446871,0.8867265005120686,0.1313674889312374,0.0661304175111901,0.055099503691368,0.0319380937170977,0.1099035385960146,0.0069948374770292,0.0051186848456233,0.0052380941488565
