Date,S_mean,S_max,S_min,E_mean,E_max,E_min,I_mean,I_max,I_min,R_mean,R_max,R_min,H_mean,H_max,H_min,C_mean,C_max,C_min,D_mean,D_max,D_min,fk_mean,fk_max,fk_min,R0_mean,R0_max,R0_min,alpha_e_mean,alpha_e_std,alpha_i_mean,alpha_i_std,eps_hc_mean,eps_hc_std,mu_mean,mu_std
2022-01-23,2740694,2740713,2740674,1432,1450,1416,1709,1711,1707,31433,31434,31432,115,115,115,41,42,41,4863,4863,4863,343,343,343,1.228822024535187,1.5174074023740696,1.0353426030064046,0.2401322241820889,0.1004109200151613,0.115226031705004,0.0846308404400461,0.1502069367418128,0.0108396477960614,0.4996524634462568,0.0003051364068451
2022-01-24,2740566,2740601,2740532,1444,1470,1416,1775,1781,1769,31481,31483,31479,115,115,115,41,43,40,4866,4866,4866,381,386,377,0.9909855036574092,1.2237156470758626,0.8349537121019391,0.2401322241820889,0.1004109200151613,0.115226031705004,0.0846308404400461,0.1502069367418128,0.0108396477960614,0.4996524634462568,0.0003051364068451
2022-01-25,2740502,2740550,2740451,1396,1433,1361,1828,1840,1816,31535,31539,31532,117,118,117,40,43,39,4870,4870,4869,384,392,377,1.783773906583337,2.2026881647365526,1.5029166817834905,0.2401322241820889,0.1004109200151613,0.115226031705004,0.0846308404400461,0.1502069367418128,0.0108396477960614,0.4996524634462568,0.0003051364068451
2022-01-26,2740204,2740282,2740120,1568,1627,1513,1887,1908,1868,31594,31599,31588,122,123,122,40,43,38,4873,4874,4873,372,381,362,1.783773906583337,2.2026881647365526,1.5029166817834905,0.2401322241820889,0.1004109200151613,0.115226031705004,0.0846308404400461,0.1502069367418128,0.0108396477960614,0.4996524634462568,0.0003051364068451
2022-01-27,2739861,2739974,2739754,1746,1813,1671,1975,2006,1945,31666,31675,31656,124,125,123,40,44,38,4876,4877,4876,418,433,403,1.783773906583337,2.2026881647365526,1.5029166817834905,0.2401322241820889,0.1004109200151613,0.115226031705004,0.0846308404400461,0.1502069367418128,0.0108396477960614,0.4996524634462568,0.0003051364068451
2022-01-28,2739470,2739627,2739348,1933,2008,1833,2089,2130,2045,31736,31749,31721,141,143,140,41,45,38,4880,4881,4879,465,483,445,1.7441344864370405,2.1537395388535185,1.4695185332994132,0.2401322241820889,0.1004109200151613,0.115226031705004,0.0846308404400461,0.1502069367418128,0.0108396477960614,0.4996524634462568,0.0003051364068451
2022-01-29,2739039,2739250,2738873,2117,2229,1989,2226,2274,2164,31818,31837,31797,163,166,161,42,47,39,4883,4885,4882,515,535,488,1.7441344864370405,2.1537395388535185,1.4695185332994132,0.2401322241820889,0.1004109200151613,0.115226031705004,0.0846308404400461,0.1502069367418128,0.0108396477960614,0.4996524634462568,0.0003051364068451
2022-01-30,2738554,2738831,2738314,2315,2479,2153,2383,2448,2300,31935,31961,31905,171,174,167,44,49,40,4887,4889,4885,564,594,530,1.228822024535187,1.5174074023740696,1.0353426030064046,0.2401322241820889,0.1004109200151613,0.115226031705004,0.0846308404400461,0.1502069367418128,0.0108396477960614,0.4996524634462568,0.0003051364068451
2022-01-31,2738248,2738578,2737943,2311,2503,2134,2540,2630,2432,32070,32102,32028,184,187,179,46,52,42,4890,4893,4889,617,660,573,0.9909855036574092,1.2237156470758626,0.8349537121019391,0.2401322241820889,0.1004109200151613,0.115226031705004,0.0846308404400461,0.1502069367418128,0.0108396477960614,0.4996524634462568,0.0003051364068451
2022-02-01,2738040,2738414,2737688,2221,2416,2040,2664,2781,2534,32229,32273,32174,191,196,185,48,55,44,4894,4897,4892,616,667,568,1.783773906583337,2.2026881647365526,1.5029166817834905,0.2401322241820889,0.1004109200151613,0.115226031705004,0.0846308404400461,0.1502069367418128,0.0108396477960614,0.4996524634462568,0.0003051364068451
2022-02-02,2737470,2737933,2737027,2476,2715,2252,2790,2936,2635,32423,32485,32350,181,186,174,50,57,45,4898,4902,4896,592,644,543,1.783773906583337,2.2026881647365526,1.5029166817834905,0.2401322241820889,0.1004109200151613,0.115226031705004,0.0846308404400461,0.1502069367418128,0.0108396477960614,0.4996524634462568,0.0003051364068451
2022-02-03,2736831,2737397,2736263,2743,3046,2470,2953,3135,2768,32633,32718,32537,175,181,167,51,59,46,4903,4906,4900,660,723,600,1.783773906583337,2.2026881647365526,1.5029166817834905,0.2401322241820889,0.1004109200151613,0.115226031705004,0.0846308404400461,0.1502069367418128,0.0108396477960614,0.4996524634462568,0.0003051364068451
2022-02-04,2736115,2736803,2735385,3027,3416,2698,3151,3380,2928,32870,32984,32746,167,173,158,52,59,47,4907,4911,4903,731,812,658,1.7441344864370405,2.1537395388535185,1.4695185332994132,0.2401322241820889,0.1004109200151613,0.115226031705004,0.0846308404400461,0.1502069367418128,0.0108396477960614,0.4996524634462568,0.0003051364068451
2022-02-05,2735340,2736167,2734410,3308,3800,2919,3381,3670,3114,33107,33255,32951,189,198,178,53,60,47,4911,4916,4907,806,910,719,1.7441344864370405,2.1537395388535185,1.4695185332994132,0.2401322241820889,0.1004109200151613,0.115226031705004,0.0846308404400461,0.1502069367418128,0.0108396477960614,0.4996524634462568,0.0003051364068451
